id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",40831,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",22,6,4,0,0,1545403816870,1545403864558,47688,240,28268,1545403816870,1545403864558,47688,118,7864,1545403816875,1545403864541,47666,122,20404,66,117.78333333333329,74.53478403190958,298,66,66.64406779661017,4.116934847963094,106,106,167.24590163934417,77.06874804493314,298,0,199.53138075313805,2130.3524302218834,32039,0,407.58974358974365,3038.370678828188,32045,0,393.9338842975207,2987.616928633748,32039,0,0,0,0,240,123,0,0,0,0,0,0,118,1,0,0,0,0,0,0,122,122,0,0,"SSH","RemoteAccess",1,1,"","","","",""
1,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41040,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545403816962,1545403850475,33513,196,150561,1545403816962,1545403850458,33496,99,7211,1545403848998,1545403850475,1477,97,143350,66,768.1683673469387,735.0696162526605,2962,66,72.83838383838386,16.25417187936125,215,66,1477.835051546392,299.6742217396381,2962,0,171.86153846153866,1361.9758222976627,16640,0,341.7959183673467,1910.8470025618649,16640,0,15.385416666666663,19.16321574577968,151,7,0,0,0,190,11,0,2,6,0,0,0,93,1,0,1,1,0,0,0,97,10,0,1,"HTTP","Web",0,6,"185.244.25.235","","","Wget/1.18 (linux-gnueabihf)","text/plain"
2,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",22,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",40831,6,4,0,0,1545403994902,1545403995903,1001,4,504,1545403994902,1545403995903,1001,2,372,1545403994902,1545403995903,1001,2,132,66,126.0,74.04503134354572,218,154,186.0,45.254833995939045,218,66,66.0,0.0,66,0,333.66666666666663,577.9276194588153,1001,1001,1001.0,0.0,1001,1001,1001.0,0.0,1001,0,0,0,0,4,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,"SSH","RemoteAccess",1,1,"","","","",""
3,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",22,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",40831,6,4,0,0,1545404128022,1545404132406,4384,63,8294,1545404128022,1545404132404,4382,32,6192,1545404128022,1545404132406,4384,31,2102,66,131.65079365079364,98.4332357210777,554,106,193.50000000000003,106.44156355302614,554,66,67.8064516129032,4.935715786244246,86,0,70.70967741935486,266.16858869846055,2001,0,141.3548387096774,366.72301522057916,2001,0,146.13333333333335,373.9625403823161,2002,0,0,0,0,63,32,0,0,0,0,0,0,32,32,0,0,0,0,0,0,31,0,0,0,"SSH","RemoteAccess",1,1,"","","","",""
4,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",123,"195.113.144.201","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1545403970458,1545403970458,0,1,90,1545403970458,1545403970458,0,1,90,0,0,0,0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NTP","System",0,6,"","","","",""
5,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",123,"89.221.210.188","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1545404206459,1545404206459,0,1,90,1545404206459,1545404206459,0,1,90,0,0,0,0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NTP","System",0,6,"","","","",""
6,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",123,"82.113.53.40","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1545403995458,1545403995458,0,1,90,1545403995458,1545403995458,0,1,90,0,0,0,0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NTP","System",0,6,"","","","",""
7,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",123,"89.221.210.188","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1545404724459,1545404724459,0,1,90,1545404724459,1545404724459,0,1,90,0,0,0,0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NTP","System",0,6,"","","","",""
8,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",123,"81.2.248.189","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1545404158497,1545404290464,131967,4,360,1545404158497,1545404290459,131962,3,270,1545404290464,1545404290464,0,1,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,90,5,43989.0,38091.26609867412,66000,65962,65981.0,26.870057685088806,66000,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NTP","System",0,6,"","","","",""
9,1,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",123,"147.231.100.5","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1545403840458,1545405584462,1744004,54,4860,1545403840458,1545405584459,1744001,27,2430,1545403840460,1545405584462,1744002,27,2430,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,90,1,32905.735849056604,33841.33591945651,68999,66000,67076.96153846155,1092.7031245775502,69001,65950,67077.0,1095.4705655561897,69079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NTP","System",0,6,"","","","",""
10,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41042,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545403850554,1545403859117,8563,193,147617,1545403850554,1545403859086,8532,99,7265,1545403857798,1545403859117,1319,94,140352,66,764.8549222797926,749.6828077101446,2962,66,73.38383838383832,16.505847492419203,217,66,1493.1063829787236,339.0999620464367,2962,0,44.59895833333336,337.54390150606395,4080,0,87.0612244897959,469.71669057932615,4080,0,14.18279569892473,13.07997659597622,110,5,0,0,0,189,10,0,2,4,0,0,0,95,1,0,1,1,0,0,0,94,9,0,1,"HTTP","Web",0,6,"185.244.25.235","","","Wget/1.18 (linux-gnueabihf)",""
11,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41044,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545403859183,1545403860213,1030,133,101411,1545403859183,1545403860187,1004,67,5086,1545403859210,1545403860213,1003,66,96325,66,762.4887218045111,740.2914313167007,2962,66,75.910447761194,18.42736053978265,214,66,1459.4696969696972,365.2813128660396,2962,0,7.803030303030301,14.282022754262549,139,0,15.212121212121207,17.626479339129922,140,0,15.430769230769231,17.73147733443377,140,2,0,0,0,132,6,0,2,1,0,0,0,66,1,0,1,1,0,0,0,66,5,0,1,"HTTP","Web",0,6,"185.244.25.235","","","Wget/1.18 (linux-gnueabihf)","text/plain"
12,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41046,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545403860282,1545403864434,4152,146,109459,1545403860282,1545403864412,4130,75,5462,1545403863399,1545403864434,1035,71,103997,66,749.7191780821921,758.5933874558449,2962,66,72.82666666666667,17.630113468179974,214,66,1464.7464788732398,426.87839413617763,2962,0,28.634482758620674,191.5028217732742,2080,0,55.81081081081082,266.1254558242968,2080,0,14.785714285714281,17.314560227138696,139,4,0,0,0,143,7,0,2,3,0,0,0,72,1,0,1,1,0,0,0,71,6,0,1,"HTTP","Web",0,6,"185.244.25.235","","","Wget/1.18 (linux-gnueabihf)","text/plain"
13,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41048,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545403864507,1545403929621,65114,7,518,1545403864507,1545403929621,65114,7,518,0,0,0,0,0,74,74.0,0.0,74,74,74.0,0.0,74,0,0.0,0.0,0,1034,10852.333333333334,12102.164462056639,32640,1034,10852.333333333334,12102.164462056639,32640,0,0.0,0.0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HTTP","Web",1,1,"","","","",""
14,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41050,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545403995902,1545404060821,64919,7,518,1545403995902,1545404060821,64919,7,518,0,0,0,0,0,74,74.0,0.0,74,74,74.0,0.0,74,0,0.0,0.0,0,1079,10819.833333333334,12104.07766691319,32640,1079,10819.833333333334,12104.07766691319,32640,0,0.0,0.0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HTTP","Web",1,1,"","","","",""
15,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41052,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545404130023,1545404132352,2329,233,184675,1545404130023,1545404132322,2299,114,8203,1545404130069,1545404132352,2283,119,176472,66,792.5965665236049,745.7868619360606,2962,66,71.95614035087719,15.688556424043384,217,66,1482.9579831932767,333.0914109522119,2962,0,10.038793103448272,35.58725943417013,523,0,20.345132743362832,49.74538203827575,525,0,19.347457627118647,48.34232933410333,523,2,0,0,0,232,13,0,2,1,0,0,0,113,1,0,1,1,0,0,0,119,12,0,1,"HTTP","Web",0,6,"185.244.25.235","","","Wget/1.18 (linux-gnueabihf)",""
16,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",123,"195.113.144.201","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1545404489497,1545404622459,132962,3,270,1545404489497,1545404622459,132962,3,270,0,0,0,0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,66000,66481.0,680.2367235014588,66962,66000,66481.0,680.2367235014588,66962,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NTP","System",0,6,"","","","",""
17,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",123,"81.2.254.224","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1545404727508,1545404858496,130988,3,270,1545404727508,1545404858496,130988,3,270,0,0,0,0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,63989,65494.0,2128.391411371508,66999,63989,65494.0,2128.391411371508,66999,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NTP","System",0,6,"","","","",""
18,1,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",48986,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",6667,6,4,0,0,1545404132353,1545405916623,1784270,87,10496,1545404132353,1545405916582,1784229,38,3147,1545404139587,1545405916623,1777036,49,7349,66,120.64367816091949,199.71782285942626,1514,66,82.8157894736842,13.339344898939348,128,66,149.97959183673464,263.27943724269454,1514,0,20747.325581395347,38765.04795194092,99142,0,48222.4054054054,46790.45068972672,99214,0,37021.583333333336,45885.23739877395,99142,5,0,0,0,83,50,0,0,4,0,0,0,34,23,0,0,1,0,0,0,49,27,0,0,"IRC","Chat",0,6,"","","","",""
19,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41056,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545404132405,1545404197141,64736,7,518,1545404132405,1545404197141,64736,7,518,0,0,0,0,0,74,74.0,0.0,74,74,74.0,0.0,74,0,0.0,0.0,0,1056,10789.333333333332,12114.342353865795,32640,1056,10789.333333333332,12114.342353865795,32640,0,0.0,0.0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HTTP","Web",1,1,"","","","",""
20,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",22,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",40831,6,4,0,0,1545404266262,1545404319794,53532,77,7802,1545404266262,1545404319790,53528,28,3656,1545404266296,1545404319794,53498,49,4146,66,101.32467532467533,39.28520598689375,258,66,130.57142857142856,46.28689004973428,258,66,84.61224489795919,21.315894232679412,138,0,704.3684210526312,5528.09024731472,48237,1,1982.5185185185182,9257.025865505826,48282,0,1114.5416666666667,6949.895382522976,48237,0,0,0,0,77,47,0,2,0,0,0,0,28,25,0,1,0,0,0,0,49,22,0,1,"SSH","RemoteAccess",1,1,"","","","",""
21,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41058,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545404267263,1545404332182,64919,7,518,1545404267263,1545404332182,64919,7,518,0,0,0,0,0,74,74.0,0.0,74,74,74.0,0.0,74,0,0.0,0.0,0,1078,10819.833333333334,12104.599165881811,32641,1078,10819.833333333334,12104.599165881811,32641,0,0.0,0.0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HTTP","Web",1,1,"","","","",""
22,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41060,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545404401383,1545404409833,8450,189,143100,1545404401383,1545404409810,8427,96,7095,1545404408598,1545404409833,1235,93,136005,66,757.1428571428575,734.8701982028435,2962,66,73.90624999999999,16.97061120693188,217,66,1462.419354838709,336.6314047512451,2962,0,44.9468085106383,340.661965437356,4081,0,88.70526315789482,476.41296840174937,4081,0,13.42391304347826,10.488333336053907,87,5,0,0,0,185,8,0,2,4,0,0,0,92,1,0,1,1,0,0,0,93,7,0,1,"HTTP","Web",0,6,"185.244.25.235","","","Wget/1.18 (linux-gnueabihf)",""
23,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",48994,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",6667,6,4,0,0,1545404409843,1545404410971,1128,13,1192,1545404409843,1545404410971,1128,7,545,1545404409899,1545404410923,1024,6,647,66,91.69230769230768,42.9658480954828,199,66,77.85714285714285,22.003246513704674,126,66,107.83333333333334,57.174877933115575,199,0,94.0,260.5473260098999,918,0,188.0,358.51415592693127,918,0,204.8,432.3941488965826,978,2,0,0,0,12,5,0,1,1,0,0,0,6,2,0,0,1,0,0,0,6,3,0,1,"IRC","Chat",0,6,"","","","",""
24,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",41064,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",80,6,4,0,0,1545404409888,1545404474902,65014,7,518,1545404409888,1545404474902,65014,7,518,0,0,0,0,0,74,74.0,0.0,74,74,74.0,0.0,74,0,0.0,0.0,0,1013,10835.666666666668,12108.466949480708,32640,1013,10835.666666666668,12108.466949480708,32640,0,0.0,0.0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HTTP","Web",1,1,"","","","",""
25,0,"192.168.1.195","b8:27:eb:58:91:d2","b8:27:eb",48998,"185.244.25.235","78:8a:20:43:93:d5","78:8a:20",6667,6,4,0,0,1545404410924,1545404418101,7177,4,296,1545404410924,1545404418101,7177,4,296,0,0,0,0,0,74,74.0,0.0,74,74,74.0,0.0,74,0,0.0,0.0,0,1017,2392.3333333333335,1555.2029878229187,4080,1017,2392.3333333333335,1555.2029878229187,4080,0,0.0,0.0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","",""
